schedule_type,threads_number,block_sizes(bytes),iteration,compile_time(s),decompile_time(s)
static,8,1000,4,15.0768,24.5033
static,8,10000,4,10.0974,6.67132
static,8,100000,4,21.411,21.5425
static,8,1000000,4,13.9436,16.1803
guided,8,1000,4,8.32272,14.5086
guided,8,10000,4,10.2452,7.23881
guided,8,100000,4,8.11624,6.76453
guided,8,1000000,4,5.78439,6.36496
dynamic,16,1000,4,14.3761,7.6803
dynamic,16,10000,4,8.24672,6.62585
dynamic,16,100000,4,5.95933,5.18376
dynamic,16,1000000,4,7.25734,8.48208
static,16,1000,4,7.22646,10.4122
static,16,10000,4,12.6305,4.6479
static,16,100000,4,6.58125,3.34427
static,16,1000000,4,4.50585,9.24558
guided,16,1000,4,3.72775,5.43742
guided,16,10000,4,7.24738,4.45143
guided,16,100000,4,4.92064,3.75891
guided,16,1000000,4,3.97027,3.21467
dynamic,32,1000,4,3.03948,3.53015
dynamic,32,10000,4,8.57031,5.95683
dynamic,32,100000,4,3.4954,4.40533
dynamic,32,1000000,4,4.26086,4.97151
static,32,1000,4,3.61066,3.31893
static,32,10000,4,4.90379,3.05678
static,32,100000,4,4.99043,4.10895
static,32,1000000,4,4.58726,4.96595
guided,32,1000,4,2.995,3.01767
guided,32,10000,4,5.33512,7.71074
guided,32,100000,4,3.82651,4.32931
guided,32,1000000,4,4.7077,4.76433
sequential,0,0,5,4.05544,1.60152
dynamic,1,1000,5,6.65162,7.99232
dynamic,1,10000,5,5.68283,8.19025
dynamic,1,100000,5,27.8278,15.7668
dynamic,1,1000000,5,9.65355,4.00207
static,1,1000,5,4.67752,3.86554
static,1,10000,5,4.67953,11.5815
static,1,100000,5,6.08127,13.7555
static,1,1000000,5,11.5384,15.2309
guided,1,1000,5,18.1714,6.82487
guided,1,10000,5,5.23078,5.34471
guided,1,100000,5,6.2913,4.00986
guided,1,1000000,5,4.40523,4.34271
dynamic,2,1000,5,8.83821,4.64695
dynamic,2,10000,5,4.24699,4.95742
dynamic,2,100000,5,4.4211,4.4528
dynamic,2,1000000,5,4.05907,28.1031
static,2,1000,5,8.71908,7.86911
static,2,10000,5,8.96533,8.50583
static,2,100000,5,5.86796,6.74306
static,2,1000000,5,4.91505,5.34331
guided,2,1000,5,10.0351,18.1188
guided,2,10000,5,16.422,7.28173
guided,2,100000,5,8.42412,10.9647
guided,2,1000000,5,8.49694,6.40756
dynamic,4,1000,5,13.6535,12.7191
